City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
121,Hami,CN,2022-08-07 21:17:16,42.8,93.45,84.04,24,39,11.59,scattered clouds
122,Methoni,GR,2022-08-07 21:18:40,36.8197,21.7049,79.21,65,22,5.21,few clouds
123,Viedma,AR,2022-08-07 21:18:41,-40.8135,-62.9967,47.07,73,100,6.64,overcast clouds
124,Sola,VU,2022-08-07 21:17:17,-13.8833,167.55,79.21,78,24,6.49,few clouds
125,Lagoa,PT,2022-08-07 21:18:42,39.05,-27.9833,73.56,83,15,18.16,light rain
126,Okha,RU,2022-08-07 21:18:42,53.5739,142.9478,54.54,97,100,14.88,overcast clouds
127,Tautira,PF,2022-08-07 21:18:42,-17.7333,-149.15,75.11,74,95,22.95,overcast clouds
128,Bafq,IR,2022-08-07 21:18:43,31.6128,55.4107,90.75,16,1,1.79,clear sky
129,Ahipara,NZ,2022-08-07 21:15:09,-35.1667,173.1667,56.17,89,15,5.35,few clouds
130,Tuatapere,NZ,2022-08-07 21:18:44,-46.1333,167.6833,35.55,83,31,9.55,scattered clouds
131,Ribeira Grande,PT,2022-08-07 21:19:44,38.5167,-28.7,74.68,82,29,16.75,light rain
132,Korla,CN,2022-08-07 21:19:44,41.7597,86.1469,82.29,27,9,0.49,clear sky
133,Makakilo City,US,2022-08-07 21:19:45,21.3469,-158.0858,83.95,57,20,11.5,few clouds
134,Sao Joao Da Barra,BR,2022-08-07 21:19:45,-21.6403,-41.0511,75.29,88,16,14.99,few clouds
135,Boca Do Acre,BR,2022-08-07 21:19:46,-8.7522,-67.3978,87.15,52,100,1.34,overcast clouds
136,Seoul,KR,2022-08-07 21:18:18,37.5683,126.9778,81.97,89,100,10.36,moderate rain
137,Chingirlau,KZ,2022-08-07 21:19:46,51.095,54.0814,73.04,41,56,7.36,broken clouds
138,Aviles,ES,2022-08-07 21:19:47,43.5547,-5.9248,70.38,84,20,8.05,few clouds
139,Mayo,US,2022-08-07 21:19:47,38.8876,-76.5119,92.95,73,0,17.27,clear sky
140,Inhambane,MZ,2022-08-07 21:19:47,-23.865,35.3833,69.6,82,38,10.76,scattered clouds
141,Kalmunai,LK,2022-08-07 21:19:48,7.4167,81.8167,79.41,69,92,3.6,overcast clouds
142,Port Macquarie,AU,2022-08-07 21:19:48,-31.4333,152.9167,51.89,77,29,14.25,scattered clouds
143,Lexington,US,2022-08-07 21:15:11,37.9887,-84.4777,89.29,65,75,11.5,broken clouds
144,Miles City,US,2022-08-07 21:19:49,46.4083,-105.8406,77.97,44,20,9.22,few clouds
145,Saint-Philippe,RE,2022-08-07 21:19:50,-21.3585,55.7679,67.59,81,21,4.43,few clouds
146,Auki,SB,2022-08-07 21:19:50,-8.7676,160.7034,78.94,84,79,3.06,broken clouds
147,Spas-Demensk,RU,2022-08-07 21:19:50,54.4122,34.0226,58.89,97,100,6.64,overcast clouds
148,Maneadero,MX,2022-08-07 21:19:51,31.7167,-116.5667,75.09,82,54,4.0,broken clouds
149,Fairbanks,US,2022-08-07 21:17:05,64.8378,-147.7164,57.09,70,0,5.75,clear sky
