City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
259,Aripuana,BR,89.38,-9.1667,-60.6333,moderate rain,
264,Kloulklubed,PW,81.64,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
267,Amapa,BR,81.28,1.0,-52.0,overcast clouds,
287,Jalu,LY,82.9,29.0331,21.5482,clear sky,صاحبة الفخامة
299,Khairpur,PK,87.8,27.5295,68.7617,scattered clouds,Mehran University SZAB Campus Hostel 2
309,Labrea,BR,83.66,-7.2586,-64.7981,broken clouds,Hotel Novo Horizonte
313,Coahuayana,MX,88.9,18.7333,-103.6833,broken clouds,El rranchito michuacan de ocampos
320,Oriximina,BR,89.53,-1.7656,-55.8661,scattered clouds,Pousada Tia Amélia
323,Akyab,MM,80.08,20.15,92.9,overcast clouds,ဟိုတယ် မန်မိုရီ
340,Nishihara,JP,81.68,26.1842,127.7558,few clouds,Minshuku Agaihama
341,Mao,ES,81.16,39.8885,4.2658,clear sky,ARTIEM Capri
343,Cayenne,GF,84.24,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
351,Tubuala,PA,80.6,9.5167,-79.0333,overcast clouds,
359,Barcarena,BR,84.25,-1.5058,-48.6258,broken clouds,Dos Santos Hotel
364,Yarada,IN,80.92,17.65,83.2667,mist,Yarada Jungle Beach Resorts
372,Pasni,PK,80.42,25.2631,63.471,overcast clouds,Kashmiri Hotal
375,New Glasgow,CA,89.38,45.5834,-62.6486,scattered clouds,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
376,Andros Town,BS,84.16,24.7,-77.7667,few clouds,Hanks place
378,Savannah Bight,HN,82.76,16.45,-85.85,broken clouds,Villa on Dunbar Rock
385,Buala,SB,81.01,-8.145,159.5921,light rain,Maringe Lagoon Lodge
389,Tateyama,JP,81.1,34.9833,139.8667,few clouds,Tateyama Seaside Hotel
393,Cockburn Town,TC,82.08,21.4612,-71.1419,broken clouds,Osprey Beach Hotel
397,Muana,BR,82.06,-1.5283,-49.2167,overcast clouds,Pousada Bella do Marajó
400,Beirut,LB,81.34,33.8889,35.4944,broken clouds,"Crowne Plaza Beirut, an IHG Hotel"
402,Gazanjyk,TM,88.16,39.2446,55.5154,clear sky,Railway motel
404,Qandala,SO,89.62,11.472,49.8728,overcast clouds,
409,Camocim,BR,81.09,-2.9022,-40.8411,broken clouds,Ilha Praia Hotel
410,Kavaratti,IN,80.55,10.5669,72.642,overcast clouds,Green leaf
412,Pochutla,MX,86.83,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
415,Sicamous,CA,89.19,50.8331,-118.9856,clear sky,Best Western Sicamous Inn
